Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
MAKITO Factura 2204112603 18.04.2022.PDF,Número de factura (archivo),2204112603,Sí,477
MIDOCEAN_Invoice_103723231.pdf,Número de factura (archivo),103723231,Sí,434
MOUNTAIN OF WINTER Factura_220052.pdf,Número de factura (archivo),220052,Sí,514
NIEVA TEXTIL Factura_2022-10213.pdf,Número de factura (PDF),2022/10213,Sí,451
PF CONCEPT 17589635.pdf,Número de factura (PDF),906447,Sí,428
PF CONCEPT 17689628.pdf,Número de factura (PDF),906897,Sí,483
PLASTÍNEZ FACCLI_220747.PDF,Número de factura (archivo),220747,Sí,523
SPETTON H20220268.pdf,Número de factura (archivo),20220268,Sí,462
STAMPROF 202200122_BZS.pdf,Número de factura (archivo),202200122,Sí,524
STAMPROF S202200089.pdf,Número de factura (archivo),202200089,Sí,425
TEXTIL MALLORCA 2205576.pdf,Número de factura (archivo),2205576,Sí,473
TEXTIL MALLORCA 2206361.pdf,Número de factura (archivo),2206361,Sí,529
TOP TEX FACTURA  - F22011559.pdf,Número de factura (archivo),22011559,Sí,445
TOP TEX FACTURA  - F22011795.pdf,Número de factura (archivo),22011795,Sí,455
TOP TEX FACTURA  - F22012189.pdf,Número de factura (archivo),22012189,Sí,468
TOP TEX FACTURA  - F22014509.pdf,Número de factura (archivo),22014509,Sí,530
UNITEDPRINT 44-22-3465.pdf,Importe total,28.0,Sí,446
VALENTO FACTURA ELECTRONICA A800021.pdf,Número de factura (archivo),800021,Sí,449
VISUALSING F003218.pdf,Número de factura (archivo),003218,Sí,458
VODAFONE ZI22-001166266.pdf,Número de factura (archivo),001166266,Sí,417
VOLKSWAGEN RENTING S22181248.pdf,Número de factura (archivo),22181248,Sí,440
XINDAO invoice IN1196175.pdf,Número de factura (archivo),1196175,Sí,531
AGUSTÍN VILAPLANA 221F0000321-00079F.PDF,Factura en nombre,321,Sí,423
AGUSTÍN VILAPLANA 221F0000377-00079F.PDF,Factura en nombre,7,Sí,444
AGUSTÍN VILAPLANA FACTURA 476.pdf,Factura en nombre,7,Sí,444
AGUSTÍN VILAPLANA FACTURA 477.pdf,Factura en nombre,7,Sí,444
AMAZON ES218VEQAEUI.pdf,Factura en nombre,218veqaeui,Sí,520
AUTOPISTA SEITT 273854.pdf,Factura en nombre,7,Sí,444
BOSQUE HOTELEROS 00372-2022.pdf,Factura en nombre,00372,Sí,427
BOSQUE HOTELEROS 00374-2022.pdf,Factura en nombre,7,Sí,444
BOSQUE HOTELEROS 00378-2022.pdf,Factura en nombre,7,Sí,444
CHASSEDANCE 2022-04-00046.pdf,Factura en nombre,04-00046,Sí,493
CMV Fact.0123.22.pdf,Factura en nombre,0123.22,Sí,517
COMUVARTE FA1024.pdf,Factura en nombre,1024,Sí,480
COMUVARTE FA1026.pdf,Factura en nombre,1026,Sí,486
COMUVARTE FA1045.pdf,Factura en nombre,1045,Sí,494
COMUVARTE FA1077.pdf,Factura en nombre,7,Sí,444
COMUVARTE FA1095.pdf,Factura en nombre,1095,Sí,503
COMUVARTE FA1122.pdf,Factura en nombre,1122,Sí,518
COMUVARTE FA1164.pdf,Factura en nombre,1164,Sí,521
COMUVARTE FA872.pdf,Factura en nombre,872,Sí,433
COMUVARTE FA913.pdf,Factura en nombre,913,Sí,460
COMUVARTTE FA912.pdf,Factura en nombre,912,Sí,452
DE LAGE LANDEN SP76312200035056.pdf,Factura en nombre,7,Sí,444
ECOM TORNADO INV-ES-1512009155-2022-273.pdf,Factura en nombre,7,Sí,444
IBERDROLA 2122042801247145.pdf,Factura en nombre,7,Sí,444
IKEA ESINV22000000589408.pdf,Factura en nombre,589408,Sí,488
JN BORDADOS FAC-FR22-788-159231.pdf,Factura en nombre,7,Sí,444
JN BORDADOS FAC-FR22-789-159232.pdf,Factura en nombre,7,Sí,444
LIDL SUPERMERCADOS 747844-02.pdf,Factura en nombre,7,Sí,444
ONLINEPRINTERS INV_165038668549663_R04100098721.pdf,Factura en nombre,872,Sí,433
ONLINEPRINTERS INV_165045277725863_R04100099457.pdf,Factura en nombre,7,Sí,444
SECANETA 20220413_1769.pdf,Factura en nombre,7,Sí,444
SERED Factura-SH-2022-56002.pdf,Factura en nombre,22-56002,Sí,467
SERED Factura-SH-2022-62583.pdf,Factura en nombre,2022-62583,Sí,501
SOL_S 2204FV00897.PDF,Factura en nombre,fv00897,Sí,437
SOL_S 2204FV03958.PDF,Factura en nombre,fv03958,Sí,498
TED GIFTED 0768-04-22-WDTS.pdf,Factura en nombre,7,Sí,444
TRUYOL factura_2022-20744.pdf,Factura en nombre,7,Sí,444
ZYAN DIGITAL 22F1-1-02592.pdf,Factura en nombre,f1-1-02592,Sí,508
ZYAN DIGITAL F1-1-02321.pdf,Factura en nombre,321,Sí,423
